"","X","Temp","Exp","Calc","Molecule"
"1",252,-25,2.239,2.064,"DECANE"
"2",253,-20,1.981,1.863,"DECANE"
"3",254,-15,1.766,1.689,"DECANE"
"4",255,-10,1.585,1.537,"DECANE"
"5",256,-5,1.432,1.403,"DECANE"
"6",257,0,1.3,1.285,"DECANE"
"7",258,5,1.186,1.181,"DECANE"
"8",259,10,1.088,1.088,"DECANE"
"9",260,15,1.001,1.006,"DECANE"
"10",261,20,0.925,0.932,"DECANE"
"11",262,25,0.858,0.866,"DECANE"
"12",263,30,0.798,0.807,"DECANE"
"13",264,35,0.746,0.753,"DECANE"
"14",265,40,0.7,0.705,"DECANE"
"15",266,45,0.656,0.661,"DECANE"
"16",267,50,0.617,0.621,"DECANE"
"17",268,55,0.582,0.584,"DECANE"
"18",269,60,0.55,0.551,"DECANE"
"19",270,65,0.521,0.52,"DECANE"
"20",271,70,0.494,0.492,"DECANE"
"21",272,75,0.47,0.466,"DECANE"
"22",273,80,0.446,0.443,"DECANE"
"23",274,85,0.425,0.421,"DECANE"
"24",275,90,0.406,0.4,"DECANE"
"25",276,95,0.387,0.382,"DECANE"
"26",277,100,0.37,0.364,"DECANE"
"27",278,105,0.354,0.348,"DECANE"
"28",279,110,0.34,0.333,"DECANE"
"29",280,115,0.325,0.319,"DECANE"
"30",281,120,0.312,0.306,"DECANE"
"31",282,125,0.3,0.293,"DECANE"
"32",283,130,0.289,0.282,"DECANE"
"33",284,135,0.278,0.271,"DECANE"
"34",285,140,0.268,0.261,"DECANE"
"35",286,145,0.258,0.251,"DECANE"
"36",287,150,0.248,0.242,"DECANE"
"37",288,155,0.239,0.234,"DECANE"
"38",289,160,0.231,0.226,"DECANE"
"39",290,165,0.223,0.219,"DECANE"
"40",291,170,0.215,0.211,"DECANE"
"41",292,175,0.207,0.205,"DECANE"
"42",293,0,1.298,1.285,"DECANE"
"43",294,20,0.907,0.932,"DECANE"
"44",295,50,0.601,0.621,"DECANE"
"45",296,80,0.452,0.443,"DECANE"
"46",297,100,0.357,0.364,"DECANE"
"47",298,20,0.92,0.932,"DECANE"
