Temp,Exp,Calc,Molecule
-35.0, 0.879, 0.891,HEPTANE
-30.0, 0.807, 0.818,HEPTANE
-25.0, 0.744, 0.754,HEPTANE
-20.0, 0.690, 0.697,HEPTANE
-15.0, 0.641, 0.647,HEPTANE
-10.0, 0.597, 0.602,HEPTANE
-5.0, 0.559, 0.561,HEPTANE
0.0, 0.524, 0.525,HEPTANE
5.0, 0.494, 0.492,HEPTANE
10.0, 0.465, 0.462,HEPTANE
15.0, 0.440, 0.435,HEPTANE
20.0, 0.417, 0.410,HEPTANE
25.0, 0.396, 0.388,HEPTANE
30.0, 0.376, 0.367,HEPTANE
35.0, 0.358, 0.349,HEPTANE
40.0, 0.342, 0.331,HEPTANE
45.0, 0.327, 0.315,HEPTANE
50.0, 0.312, 0.301,HEPTANE
55.0, 0.299, 0.287,HEPTANE
60.0, 0.286,0.274,HEPTANE
65.0, 0.274, 0.263,HEPTANE
70.0, 0.263, 0.252,HEPTANE
75.0, 0.253, 0.242,HEPTANE
80.0, 0.243, 0.232,HEPTANE
85.0, 0.233, 0.223,HEPTANE
90.0, 0.225, 0.215,HEPTANE
95.0, 0.216, 0.207,HEPTANE
0 . 3,0 . 7 0 0,0 . 7 1 6,OCTANE
1 2 . 2,0 . 5 9 4,0 . 6 0 6,OCTANE
2 2 . 9,0 . 5 2 0,0 . 5 2 8,OCTANE
3 3 . 0,0 . 4 6 3,0 . 4 6 8,OCTANE
4 3 . 9,0 . 4 1 1,0 . 4 1 4,OCTANE
5 4 . 7,0 . 3 6 7,0 . 3 6 9,OCTANE
6 6 . 5,0 . 3 2 8,0 . 3 2 9,OCTANE
7 7 . 8,0 . 2 9 6,0 . 2 9 7,OCTANE
8 8 . 3,0 . 2 69,0 . 2 7 1,OCTANE
9 8 . 5,0 . 2 4 7,0 . 2 4 9,OCTANE
1 0 9 . 1,0 . 2 2 7,0 . 2 3 0,OCTANE
1 2 2 . 1,0 . 2 0 4,0 . 2 0 9,OCTANE
0 . 0,0 . 7 0 6,0 . 7 1 9,OCTANE
1 6 . 0,0 . 5 7 4,0 . 5 7 6,OCTANE
2 0 . 0,0 . 5 4 2,0 . 5 4 7,OCTANE
4 0 . 0,0 . 4 3 3,0 . 4 3 2,OCTANE
- 5 5 . 0,2 . 1 2 0,1.967,OCTANE
- 5 0 . 0,1.86,1.758,OCTANE
- 4 5 . 0,1 . 6 4 0,1.58,OCTANE
- 4 0 . 0,1 . 4 6 0,1.426,OCTANE
- 3 5 . 0,1.31,1.293,OCTANE
- 3 0 . 0,1 . 1 8 0,1.176,OCTANE
- 2 5 . 0,1 . 0 7 1,1.075,OCTANE
- 2 0 . 0,0 . 9 7 8,0 . 9 8 5,OCTANE
- 1 5 . 0,0 . 8 9 7,0 . 9 0 7,OCTANE
- 1 0 . 0,0 . 8 2 6,0 . 8 3 7,OCTANE
- 5 . 0,0 . 7 6 4,0 . 7 7 4,OCTANE
0 . 0,0 . 7 1 0,0 . 7 1 9,OCTANE
5 . 0,0 . 6 6 1,0 . 6 6 9,OCTANE
1 0 . 0,0 . 6 1 8,0 . 6 2 4,OCTANE
1 5 . 0,0 . 5 8 0,0 . 5 8 4,OCTANE
2 0 . 0,0 . 5 4 5,0 . 5 4 7,OCTANE
2 5 . 0,0 . 5 1 3,0 . 5 1 4,OCTANE
3 0 . 0,0 . 4 8 6,0 . 4 8 4,OCTANE
3 5 . 0,0 . 4 6 0,0 . 4 5 7,OCTANE
4 0 . 0,0 . 4 3 6,0 . 4 3 2,OCTANE
4 5 . 0,0 . 4 1 4,0 . 4 0 9,OCTANE
5 0 . 0,0 . 3 9 4,0 . 3 8 8,OCTANE
5 5 . 0,0 . 3 7 5,0 . 3 6 8,OCTANE
6 0 . 0,0 . 3 5 8,0 . 3 5 0,OCTANE
6 5 . 0,0 . 3 4 2,0 . 3 3 4,OCTANE
7 0 . 0,0 . 3 2 7,0 . 3 1 8,OCTANE
7 5 . 0,0 . 3 1 3,0 . 3 0 4,OCTANE
8 0 . 0,0 . 3 0 0,0 . 2 9 1,OCTANE
8 5 . 0,0 . 2 8 8,0 . 2 7 9,OCTANE
9 0 . 0,0 . 2 7 6,0 . 2 6 7,OCTANE
9 5 . 0,0 . 2 6 5,0 . 2 5 7,OCTANE
1 0 0 . 0,0 . 2 5 5,0 . 2 4 7,OCTANE
1 0 5 . 0,0 . 2 4 5,0 . 2 3 7,OCTANE
1 1 0 . 0,0 . 2 3 6,0 . 2 2 8,OCTANE
1 1 5 . 0,0 . 2 2 7,0 . 2 2 0,OCTANE
1 2 0 . 0,0 . 2 1 9,0 . 2 1 3,OCTANE
2 0 . 0,0 . 7 1 6,0 . 7 2 0,NONANE
5 0 . 0,0 . 4 9 6,0 . 4 9 4,NONANE
1 0 0 . 0,0 . 3 0 8,0 . 3 0 1,NONANE
1 5 0 . 0,0 . 2 1 3,0 . 2 0 7,NONANE
2 0 . 0,0 . 7 1 1,0 . 7 2 0,NONANE
- 5 0 . 0,2 . 9 9 0,2 . 5 7 5,NONANE
- 4 5 . 0,2 . 5 8 0,2 . 2 9 0,NONANE
- 4 0 . 0,2 . 2 4 0,2 . 0 4 8,NONANE
- 3 5 . 0,1.97,1.84,NONANE
- 3 0 . 0,1.742,1.66,NONANE
- 2 5 . 0,1 . 5 5 5,1.504,NONANE
- 2 0 . 0,1.399,1.368,NONANE
- 1 5 . 0,1.266,1.249,NONANE
- 1 0 . 0,1.15,1.144,NONANE
- 5 . 0,1 . 0 5 1,1 . 0 5 1,NONANE
0 . 0,0 . 9 6 6,0 . 9 6 9,NONANE
5 . 0,0 . 8 9 0,0 . 8 9 6,NONANE
1 0 . 0,0 . 8 2 4,0 . 8 3 1,NONANE
1 5 . 0,0 . 7 6 6,0 . 7 7 2,NONANE
2 0 . 0,0 . 7 1 4,0 . 7 2 0,NONANE
2 5 . 0,0 . 6 6 8,0 . 6 7 2,NONANE
3 0 . 0,0 . 6 2 6,0 . 6 3 0,NONANE
3 5 . 0,0 . 5 8 8,0 . 5 9 1,NONANE
4 0 . 0,0 . 5 5 4,0 . 5 5 5,NONANE
4 5 . 0,0 . 5 2 3,0 . 5 2 3,NONANE
5 0 . 0,0 . 4 9 6,0 . 4 9 4,NONANE
5 5 . 0,0 . 4 7 0,0 . 4 6 7,NONANE
6 0 . 0,0 . 4 4 6,0 . 4 4 2,NONANE
6 5 . 0,0 . 4 2 4,0 . 4 1 9,NONANE
7 0 . 0,0 . 4 0 4,0 . 3 9 8,NONANE
7 5 . 0,0 . 3 8 5,0 . 3 7 9,NONANE
8 0 . 0,0 . 3 6 8,0 . 3 6 1,NONANE
8 5 . 0,0 . 3 5 1,0 . 3 4 4,NONANE
9 0 . 0,0 . 3 3 6,0 . 3 2 9,NONANE
9 5 . 0,0 . 3 2 3,0 . 3 1 5,NONANE
1 0 0 . 0,0 . 3 0 9,0 . 3 0 1,NONANE
1 0 5 . 0,0 . 2 9 7,0 . 2 8 9,NONANE
1 1 0 . 0,0 . 2 8 5,0 . 2 7 7,NONANE
1 1 5 . 0,0 . 2 7 4,0 . 2 6 6,NONANE
1 2 0 . 0,0 . 2 6 4,0 . 2 5 6,NONANE
1 2 5 . 0,0 . 2 5 4,0 . 2 4 7,NONANE
1 3 0 . 0,0 . 2 4 4,0 . 2 3 8,NONANE
1 3 5 . 0,0 . 2 3 5,0 . 2 2 9,NONANE
1 4 0 . 0,0 . 2 2 7,0 . 2 2 1,NONANE
1 4 5 . 0,0 . 2 1 9,0 . 2 1 4,NONANE
1 5 0 . 0,0 . 2 1 1,0 . 2 0 7,NONANE
- 2 5 . 0,2 . 2 3 9,2 . 0 6 4,DECANE
- 2 0 . 0,1 . 9 8 1,1.863,DECANE
- 1 5 . 0,1 . 7 6 6,1.689,DECANE
- 1 0 . 0,1.585,1.537,DECANE
- 5 . 0,1.432,1.403,DECANE
0 . 0,1.3,1 . 2 8 5,DECANE
5 . 0,1 . 1 8 6,1 . 1 8 1,DECANE
1 0 . 0,1.088,1.088,DECANE
1 5 . 0,1 . 0 0 1,1.006,DECANE
2 0 . 0,0 . 9 2 5,0 . 9 3 2,DECANE
2 5 . 0,0 . 8 5 8,0 . 8 6 6,DECANE
3 0 . 0,0 . 7 9 8,0 . 8 0 7,DECANE
3 5 . 0,0 . 7 4 6,0 . 7 5 3,DECANE
4 0 . 0,0 . 7 0 0,0 . 7 0 5,DECANE
4 5 . 0,0 . 6 5 6,0 . 6 6 1,DECANE
5 0 . 0,0 . 6 1 7,0 . 6 2 1,DECANE
5 5 . 0,0 . 5 8 2,0 . 5 8 4,DECANE
6 0 . 0,0 . 5 5 0,0 . 5 5 1,DECANE
6 5 . 0,0 . 5 2 1,0 . 5 2 0,DECANE
7 0 . 0,0 . 4 9 4,0 . 4 9 2,DECANE
7 5 . 0,0 . 4 7 0,0 . 4 6 6,DECANE
8 0 . 0,0 . 4 4 6,0 . 4 4 3,DECANE
8 5 . 0,0 . 4 2 5,0 . 4 2 1,DECANE
9 0 . 0,0 . 4 0 6,0 . 4 0 0,DECANE
9 5 . 0,0 . 3 8 7,0 . 3 8 2,DECANE
1 0 0 . 0,0 . 3 7 0,0 . 3 6 4,DECANE
1 0 5 . 0,0 . 3 54,0 . 3 4 8,DECANE
1 1 0 . 0,0 . 3 4 0,0 . 3 3 3,DECANE
1 1 5 . 0,0 . 3 2 5,0 . 3 1 9,DECANE
1 2 0 . 0,0 . 3 1 2,0 . 3 0 6,DECANE
1 2 5 . 0,0 . 3 0 0,0 . 2 9 3,DECANE
1 3 0 . 0,0 . 2 8 9,0 . 2 8 2,DECANE
1 3 5 . 0,0 . 2 7 8,0 . 2 7 1,DECANE
1 4 0 . 0,0 . 2 6 8,0 . 2 6 1,DECANE
1 4 5 . 0,0 . 2 5 8,0 . 2 5 1,DECANE
1 5 0 . 0,0 . 2 4 8,0 . 2 4 2,DECANE
1 5 5 . 0,0 . 2 3 9,0 . 2 3 4,DECANE
1 6 0 . 0,0 . 2 3 1,0 . 2 2 6,DECANE
1 6 5 . 0,0 . 2 2 3,0 . 2 1 9,DECANE
1 7 0 . 0,0 . 2 1 5,0 . 2 1 1,DECANE
1 7 5 . 0,0 . 2 0 7,0 . 2 0 5,DECANE
0 . 0,1.298,1.285,DECANE
2 0 . 0,0 . 9 0 7,0 . 9 3 2,DECANE
5 0 . 0,0 . 6 0 1,0 . 6 2 1,DECANE
8 0 . 0,0 . 4 5 2,0 . 4 4 3,DECANE
1 0 0 . 0,0 . 3 5 7,0 . 3 6 4,DECANE
2 0 . 0,0 . 9 2 0,0 . 9 3 2,DECANE
