"","Temp","Exp","Calc","Molecule"
"1",10,2.932,2.724,"TETRADECANE"
"2",15,2.61,2.471,"TETRADECANE"
"3",20,2.334,2.248,"TETRADECANE"
"4",25,2.106,2.052,"TETRADECANE"
"5",30,1.906,1.879,"TETRADECANE"
"6",35,1.734,1.725,"TETRADECANE"
"7",40,1.585,1.588,"TETRADECANE"
"8",45,1.454,1.466,"TETRADECANE"
"9",50,1.341,1.357,"TETRADECANE"
"10",55,1.241,1.258,"TETRADECANE"
"11",60,1.151,1.17,"TETRADECANE"
"12",65,1.071,1.09,"TETRADECANE"
"13",70,1,1.018,"TETRADECANE"
"14",75,0.934,0.952,"TETRADECANE"
"15",80,0.877,0.892,"TETRADECANE"
"16",85,0.825,0.838,"TETRADECANE"
"17",90,0.777,0.788,"TETRADECANE"
"18",95,0.733,0.742,"TETRADECANE"
"19",100,0.693,0.7,"TETRADECANE"
"20",105,0.656,0.662,"TETRADECANE"
"21",110,0.623,0.626,"TETRADECANE"
"22",115,0.592,0.594,"TETRADECANE"
"23",120,0.563,0.563,"TETRADECANE"
"24",125,0.536,0.535,"TETRADECANE"
"25",130,0.512,0.51,"TETRADECANE"
"26",135,0.49,0.485,"TETRADECANE"
"27",140,0.468,0.463,"TETRADECANE"
"28",145,0.448,0.442,"TETRADECANE"
"29",150,0.43,0.423,"TETRADECANE"
"30",155,0.412,0.404,"TETRADECANE"
"31",160,0.395,0.387,"TETRADECANE"
"32",165,0.381,0.371,"TETRADECANE"
"33",170,0.365,0.357,"TETRADECANE"
"34",175,0.351,0.342,"TETRADECANE"
"35",180,0.338,0.329,"TETRADECANE"
"36",185,0.326,0.317,"TETRADECANE"
"37",190,0.314,0.305,"TETRADECANE"
"38",195,0.303,0.294,"TETRADECANE"
"39",200,0.292,0.284,"TETRADECANE"
"40",205,0.282,0.274,"TETRADECANE"
"41",210,0.272,0.265,"TETRADECANE"
"42",215,0.262,0.256,"TETRADECANE"
"43",220,0.259,0.248,"TETRADECANE"
"44",225,0.244,0.24,"TETRADECANE"
"45",230,0.236,0.232,"TETRADECANE"
"46",235,0.228,0.225,"TETRADECANE"
"47",240,0.22,0.218,"TETRADECANE"
"48",245,0.213,0.212,"TETRADECANE"
"49",250,0.206,0.206,"TETRADECANE"
