"","X","Temp","Exp","Calc","Molecule"
"1",1,-180,0.188,0.379,"METHANE"
"2",1,-175,0.161,0.339,"METHANE"
"3",3,-170,0.142,0.306,"METHANE"
"4",4,-165,0.127,0.278,"METHANE"
