"","X","Temp","Exp","Calc","Molecule"
"1",48,-90,0.628,0.585,"BUTANE"
"2",49,-85,0.578,0.535,"BUTANE"
"3",50,-80,0.534,0.491,"BUTANE"
"4",51,-75,0.496,0.452,"BUTANE"
"5",52,-70,0.461,0.418,"BUTANE"
"6",53,-65,0.43,0.389,"BUTANE"
"7",54,-60,0.402,0.362,"BUTANE"
"8",55,-55,0.377,0.339,"BUTANE"
"9",56,-50,0.354,0.318,"BUTANE"
"10",57,-45,0.334,0.299,"BUTANE"
"11",58,-40,0.314,0.282,"BUTANE"
"12",59,-35,0.297,0.266,"BUTANE"
"13",60,-30,0.281,0.252,"BUTANE"
"14",61,-25,0.266,0.24,"BUTANE"
"15",62,-20,0.252,0.228,"BUTANE"
"16",63,-15,0.24,0.217,"BUTANE"
"17",64,-10,0.228,0.208,"BUTANE"
"18",65,-5,0.218,0.199,"BUTANE"
