"","X","Temp","Exp","Calc","Molecule"
"1",206,20,0.716,0.72,"NONANE"
"2",207,50,0.496,0.494,"NONANE"
"3",208,100,0.308,0.301,"NONANE"
"4",209,150,0.213,0.207,"NONANE"
"5",210,20,0.711,0.72,"NONANE"
"6",211,-50,2.99,2.575,"NONANE"
"7",212,-45,2.58,2.29,"NONANE"
"8",213,-40,2.24,2.048,"NONANE"
"9",214,-35,1.97,1.84,"NONANE"
"10",215,-30,1.742,1.66,"NONANE"
"11",216,-25,1.555,1.504,"NONANE"
"12",217,-20,1.399,1.368,"NONANE"
"13",218,-15,1.266,1.249,"NONANE"
"14",219,-10,1.15,1.144,"NONANE"
"15",220,-5,1.051,1.051,"NONANE"
"16",221,0,0.966,0.969,"NONANE"
"17",222,5,0.89,0.896,"NONANE"
"18",223,10,0.824,0.831,"NONANE"
"19",224,15,0.766,0.772,"NONANE"
"20",225,20,0.714,0.72,"NONANE"
"21",226,25,0.668,0.672,"NONANE"
"22",227,30,0.626,0.63,"NONANE"
"23",228,35,0.588,0.591,"NONANE"
"24",229,40,0.554,0.555,"NONANE"
"25",230,45,0.523,0.523,"NONANE"
"26",231,50,0.496,0.494,"NONANE"
"27",232,55,0.47,0.467,"NONANE"
"28",233,60,0.446,0.442,"NONANE"
"29",234,65,0.424,0.419,"NONANE"
"30",235,70,0.404,0.398,"NONANE"
"31",236,75,0.385,0.379,"NONANE"
"32",237,80,0.368,0.361,"NONANE"
"33",238,85,0.351,0.344,"NONANE"
"34",239,90,0.336,0.329,"NONANE"
"35",240,95,0.323,0.315,"NONANE"
"36",241,100,0.309,0.301,"NONANE"
"37",242,105,0.297,0.289,"NONANE"
"38",243,110,0.285,0.277,"NONANE"
"39",244,115,0.274,0.266,"NONANE"
"40",245,120,0.264,0.256,"NONANE"
"41",246,125,0.254,0.247,"NONANE"
"42",247,130,0.244,0.238,"NONANE"
"43",248,135,0.235,0.229,"NONANE"
"44",249,140,0.227,0.221,"NONANE"
"45",250,145,0.219,0.214,"NONANE"
"46",251,150,0.211,0.207,"NONANE"
