"","Temp","Exp","Calc","Molecule"
"153","65","0.213","0.205","HEXANE"
"154","0.3","0.700","0.716","OCTANE"
"155","12.2","0.594","0.606","OCTANE"
"156","22.9","0.520","0.528","OCTANE"
"157","33.0","0.463","0.468","OCTANE"
"158","43.9","0.411","0.414","OCTANE"
"159","54.7","0.367","0.369","OCTANE"
"160","66.5","0.328","0.329","OCTANE"
"161","77.8","0.296","0.297","OCTANE"
"162","88.3","0.269","0.271","OCTANE"
"163","98.5","0.247","0.249","OCTANE"
"164","109.1","0.227","0.230","OCTANE"
"165","122.1","0.204","0.209","OCTANE"
"166","0.0","0.706","0.719","OCTANE"
"167","16.0","0.574","0.576","OCTANE"
"168","20.0","0.542","0.547","OCTANE"
"169","40.0","0.433","0.432","OCTANE"
"170","-55.0","2.120","1.967","OCTANE"
"171","-50.0","1.86","1.758","OCTANE"
"172","-45.0","1.640","1.58","OCTANE"
"173","-40.0","1.460","1.426","OCTANE"
"174","-35.0","1.31","1.293","OCTANE"
"175","-30.0","1.180","1.176","OCTANE"
"176","-25.0","1.071","1.075","OCTANE"
"177","-20.0","0.978","0.985","OCTANE"
"178","-15.0","0.897","0.907","OCTANE"
"179","-10.0","0.826","0.837","OCTANE"
"180","-5.0","0.764","0.774","OCTANE"
"181","0.0","0.710","0.719","OCTANE"
"182","5.0","0.661","0.669","OCTANE"
"183","10.0","0.618","0.624","OCTANE"
"184","15.0","0.580","0.584","OCTANE"
"185","20.0","0.545","0.547","OCTANE"
"186","25.0","0.513","0.514","OCTANE"
"187","30.0","0.486","0.484","OCTANE"
"188","35.0","0.460","0.457","OCTANE"
"189","40.0","0.436","0.432","OCTANE"
"190","45.0","0.414","0.409","OCTANE"
"191","50.0","0.394","0.388","OCTANE"
"192","55.0","0.375","0.368","OCTANE"
"193","60.0","0.358","0.350","OCTANE"
"194","65.0","0.342","0.334","OCTANE"
"195","70.0","0.327","0.318","OCTANE"
"196","75.0","0.313","0.304","OCTANE"
"197","80.0","0.300","0.291","OCTANE"
"198","85.0","0.288","0.279","OCTANE"
"199","90.0","0.276","0.267","OCTANE"
"200","95.0","0.265","0.257","OCTANE"
"201","100.0","0.255","0.247","OCTANE"
"202","105.0","0.245","0.237","OCTANE"
"203","110.0","0.236","0.228","OCTANE"
"204","115.0","0.227","0.220","OCTANE"
"205","120.0","0.219","0.213","OCTANE"
"206","20.0","0.716","0.720","NONANE"
"207","50.0","0.496","0.494","NONANE"
"208","100.0","0.308","0.301","NONANE"
"209","150.0","0.213","0.207","NONANE"
"210","20.0","0.711","0.720","NONANE"
"211","-50.0","2.990","2.575","NONANE"
"212","-45.0","2.580","2.290","NONANE"
"213","-40.0","2.240","2.048","NONANE"
"214","-35.0","1.97","1.84","NONANE"
"215","-30.0","1.742","1.66","NONANE"
"216","-25.0","1.555","1.504","NONANE"
"217","-20.0","1.399","1.368","NONANE"
"218","-15.0","1.266","1.249","NONANE"
"219","-10.0","1.15","1.144","NONANE"
"220","-5.0","1.051","1.051","NONANE"
"221","0.0","0.966","0.969","NONANE"
"222","5.0","0.890","0.896","NONANE"
"223","10.0","0.824","0.831","NONANE"
"224","15.0","0.766","0.772","NONANE"
"225","20.0","0.714","0.720","NONANE"
"226","25.0","0.668","0.672","NONANE"
"227","30.0","0.626","0.630","NONANE"
"228","35.0","0.588","0.591","NONANE"
"229","40.0","0.554","0.555","NONANE"
"230","45.0","0.523","0.523","NONANE"
"231","50.0","0.496","0.494","NONANE"
"232","55.0","0.470","0.467","NONANE"
"233","60.0","0.446","0.442","NONANE"
"234","65.0","0.424","0.419","NONANE"
"235","70.0","0.404","0.398","NONANE"
"236","75.0","0.385","0.379","NONANE"
"237","80.0","0.368","0.361","NONANE"
"238","85.0","0.351","0.344","NONANE"
"239","90.0","0.336","0.329","NONANE"
"240","95.0","0.323","0.315","NONANE"
"241","100.0","0.309","0.301","NONANE"
"242","105.0","0.297","0.289","NONANE"
"243","110.0","0.285","0.277","NONANE"
"244","115.0","0.274","0.266","NONANE"
"245","120.0","0.264","0.256","NONANE"
"246","125.0","0.254","0.247","NONANE"
"247","130.0","0.244","0.238","NONANE"
"248","135.0","0.235","0.229","NONANE"
"249","140.0","0.227","0.221","NONANE"
"250","145.0","0.219","0.214","NONANE"
"251","150.0","0.211","0.207","NONANE"
"252","-25.0","2.239","2.064","DECANE"
"253","-20.0","1.981","1.863","DECANE"
"254","-15.0","1.766","1.689","DECANE"
"255","-10.0","1.585","1.537","DECANE"
"256","-5.0","1.432","1.403","DECANE"
"257","0.0","1.3","1.285","DECANE"
"258","5.0","1.186","1.181","DECANE"
"259","10.0","1.088","1.088","DECANE"
"260","15.0","1.001","1.006","DECANE"
"261","20.0","0.925","0.932","DECANE"
"262","25.0","0.858","0.866","DECANE"
"263","30.0","0.798","0.807","DECANE"
"264","35.0","0.746","0.753","DECANE"
"265","40.0","0.700","0.705","DECANE"
"266","45.0","0.656","0.661","DECANE"
"267","50.0","0.617","0.621","DECANE"
"268","55.0","0.582","0.584","DECANE"
"269","60.0","0.550","0.551","DECANE"
"270","65.0","0.521","0.520","DECANE"
"271","70.0","0.494","0.492","DECANE"
"272","75.0","0.470","0.466","DECANE"
"273","80.0","0.446","0.443","DECANE"
"274","85.0","0.425","0.421","DECANE"
"275","90.0","0.406","0.400","DECANE"
"276","95.0","0.387","0.382","DECANE"
"277","100.0","0.370","0.364","DECANE"
"278","105.0","0.354","0.348","DECANE"
"279","110.0","0.340","0.333","DECANE"
"280","115.0","0.325","0.319","DECANE"
"281","120.0","0.312","0.306","DECANE"
"282","125.0","0.300","0.293","DECANE"
"283","130.0","0.289","0.282","DECANE"
"284","135.0","0.278","0.271","DECANE"
"285","140.0","0.268","0.261","DECANE"
"286","145.0","0.258","0.251","DECANE"
"287","150.0","0.248","0.242","DECANE"
"288","155.0","0.239","0.234","DECANE"
"289","160.0","0.231","0.226","DECANE"
"290","165.0","0.223","0.219","DECANE"
"291","170.0","0.215","0.211","DECANE"
"292","175.0","0.207","0.205","DECANE"
"293","0.0","1.298","1.285","DECANE"
"294","20.0","0.907","0.932","DECANE"
"295","50.0","0.601","0.621","DECANE"
"296","80.0","0.452","0.443","DECANE"
"297","100.0","0.357","0.364","DECANE"
"298","20.0","0.920","0.932","DECANE"
