"","Temp","Exp","Calc","Molecule"
"1",-25,3.182,2.778,"UNDECANE"
"2",-20,2.771,2.491,"UNDECANE"
"3",-15,2.435,2.243,"UNDECANE"
"4",-10,2.157,2.027,"UNDECANE"
"5",-5,1.924,1.839,"UNDECANE"
"6",0,1.728,1.675,"UNDECANE"
"7",5,1.56,1.53,"UNDECANE"
"8",10,1.417,1.402,"UNDECANE"
"9",15,1.291,1.289,"UNDECANE"
"10",20,1.184,1.189,"UNDECANE"
"11",25,1.091,1.099,"UNDECANE"
"12",30,1.009,1.019,"UNDECANE"
"13",35,0.935,0.946,"UNDECANE"
"14",40,0.87,0.882,"UNDECANE"
"15",45,0.812,0.823,"UNDECANE"
"16",50,0.76,0.77,"UNDECANE"
"17",55,0.713,0.721,"UNDECANE"
"18",60,0.671,0.678,"UNDECANE"
"19",65,0.631,0.638,"UNDECANE"
"20",70,0.596,0.601,"UNDECANE"
"21",75,0.564,0.567,"UNDECANE"
"22",80,0.535,0.537,"UNDECANE"
"23",85,0.509,0.508,"UNDECANE"
"24",90,0.484,0.482,"UNDECANE"
"25",95,0.46,0.458,"UNDECANE"
"26",100,0.44,0.436,"UNDECANE"
"27",105,0.42,0.415,"UNDECANE"
"28",110,0.4,0.396,"UNDECANE"
"29",115,0.383,0.378,"UNDECANE"
"30",120,0.367,0.361,"UNDECANE"
"31",125,0.351,0.346,"UNDECANE"
"32",130,0.337,0.331,"UNDECANE"
"33",135,0.324,0.318,"UNDECANE"
"34",140,0.311,0.305,"UNDECANE"
"35",145,0.3,0.293,"UNDECANE"
"36",150,0.288,0.282,"UNDECANE"
"37",155,0.277,0.272,"UNDECANE"
"38",160,0.267,0.262,"UNDECANE"
"39",165,0.257,0.252,"UNDECANE"
"40",170,0.248,0.244,"UNDECANE"
"41",175,0.24,0.235,"UNDECANE"
"42",180,0.231,0.228,"UNDECANE"
"43",185,0.222,0.22,"UNDECANE"
"44",190,0.215,0.213,"UNDECANE"
"45",195,0.207,0.207,"UNDECANE"
"46",20,1.186,1.189,"UNDECANE"
"47",50,0.761,0.77,"UNDECANE"
"48",100,0.438,0.436,"UNDECANE"
