"","Temp","Exp","Calc","Molecule"
"1",-5,2.558,2.37,"DODECANE"
"2",0,2.271,2.146,"DODECANE"
"3",5,2.031,1.95,"DODECANE"
"4",10,1.828,1.778,"DODECANE"
"5",15,1.653,1.627,"DODECANE"
"6",20,1.503,1.493,"DODECANE"
"7",25,1.374,1.373,"DODECANE"
"8",30,1.261,1.267,"DODECANE"
"9",35,1.162,1.173,"DODECANE"
"10",40,1.076,1.087,"DODECANE"
"11",45,1,1.011,"DODECANE"
"12",50,0.93,0.942,"DODECANE"
"13",55,0.867,0.88,"DODECANE"
"14",60,0.811,0.823,"DODECANE"
"15",65,0.762,0.772,"DODECANE"
"16",70,0.716,0.725,"DODECANE"
"17",75,0.665,0.682,"DODECANE"
"18",80,0.637,0.643,"DODECANE"
"19",85,0.603,0.607,"DODECANE"
"20",90,0.572,0.574,"DODECANE"
"21",95,0.543,0.544,"DODECANE"
"22",100,0.516,0.516,"DODECANE"
"23",105,0.492,0.49,"DODECANE"
"24",110,0.47,0.466,"DODECANE"
"25",115,0.448,0.444,"DODECANE"
"26",120,0.428,0.423,"DODECANE"
"27",125,0.409,0.404,"DODECANE"
"28",130,0.392,0.386,"DODECANE"
"29",135,0.375,0.369,"DODECANE"
"30",140,0.36,0.354,"DODECANE"
"31",145,0.346,0.339,"DODECANE"
"32",150,0.332,0.325,"DODECANE"
"33",155,0.32,0.313,"DODECANE"
"34",160,0.307,0.301,"DODECANE"
"35",165,0.296,0.289,"DODECANE"
"36",170,0.285,0.279,"DODECANE"
"37",175,0.275,0.269,"DODECANE"
"38",180,0.265,0.259,"DODECANE"
"39",185,0.256,0.25,"DODECANE"
"40",190,0.247,0.242,"DODECANE"
"41",195,0.238,0.234,"DODECANE"
"42",200,0.23,0.226,"DODECANE"
"43",205,0.222,0.219,"DODECANE"
"44",210,0.214,0.212,"DODECANE"
"45",215,0.206,0.206,"DODECANE"
