"","Temp","Exp","Calc","Molecule"
"1",-5,3.348,3,"TRIDECANE"
"2",0,2.942,2.703,"TRIDECANE"
"3",5,2.603,2.444,"TRIDECANE"
"4",10,2.321,2.218,"TRIDECANE"
"5",15,2.083,2.02,"TRIDECANE"
"6",20,1.881,1.846,"TRIDECANE"
"7",25,1.706,1.691,"TRIDECANE"
"8",30,1.555,1.554,"TRIDECANE"
"9",35,1.425,1.432,"TRIDECANE"
"10",40,1.31,1.323,"TRIDECANE"
"11",45,1.208,1.225,"TRIDECANE"
"12",50,1.12,1.138,"TRIDECANE"
"13",55,1.04,1.059,"TRIDECANE"
"14",60,0.97,0.987,"TRIDECANE"
"15",65,0.905,0.923,"TRIDECANE"
"16",70,0.85,0.864,"TRIDECANE"
"17",75,0.796,0.81,"TRIDECANE"
"18",80,0.75,0.761,"TRIDECANE"
"19",85,0.707,0.717,"TRIDECANE"
"20",90,0.668,0.676,"TRIDECANE"
"21",95,0.633,0.638,"TRIDECANE"
"22",100,0.6,0.604,"TRIDECANE"
"23",105,0.57,0.572,"TRIDECANE"
"24",110,0.542,0.543,"TRIDECANE"
"25",115,0.516,0.516,"TRIDECANE"
"26",120,0.492,0.49,"TRIDECANE"
"27",125,0.47,0.467,"TRIDECANE"
"28",130,0.45,0.445,"TRIDECANE"
"29",135,0.43,0.425,"TRIDECANE"
"30",140,0.412,0.406,"TRIDECANE"
"31",145,0.395,0.389,"TRIDECANE"
"32",150,0.38,0.372,"TRIDECANE"
"33",155,0.364,0.357,"TRIDECANE"
"34",160,0.35,0.343,"TRIDECANE"
"35",165,0.336,0.329,"TRIDECANE"
"36",170,0.324,0.316,"TRIDECANE"
"37",175,0.312,0.304,"TRIDECANE"
"38",180,0.3,0.293,"TRIDECANE"
"39",185,0.29,0.283,"TRIDECANE"
"40",190,0.28,0.273,"TRIDECANE"
"41",195,0.27,0.263,"TRIDECANE"
"42",200,0.26,0.254,"TRIDECANE"
"43",205,0.251,0.246,"TRIDECANE"
"44",210,0.242,0.238,"TRIDECANE"
"45",215,0.234,0.23,"TRIDECANE"
"46",220,0.225,0.223,"TRIDECANE"
"47",225,0.217,0.216,"TRIDECANE"
"48",230,0.21,0.21,"TRIDECANE"
"49",235,0.204,0.204,"TRIDECANE"
"50",20,1.883,1.846,"TRIDECANE"
"51",50,1.118,1.138,"TRIDECANE"
"52",100,0.6,0.604,"TRIDECANE"
"53",150,0.376,0.372,"TRIDECANE"
"54",200,0.261,0.254,"TRIDECANE"
"55",23.3,1.55,1.742,"TRIDECANE"
